"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"1159","f","true","0","180","or","null","incongruent"
"940","j","true","0","0","mov","switch","congruent"
"780","f","true","180","180","mov","repetition","congruent"
"1031","j","true","180","0","or","switch","incongruent"
"904","j","false","0","180","or","repetition","incongruent"
"1211","j","false","180","180","or","repetition","congruent"
"1911","f","true","0","180","or","repetition","incongruent"
"1512","j","true","0","0","or","repetition","congruent"
"1482","f","true","180","0","mov","switch","incongruent"
"786","j","true","0","180","mov","repetition","incongruent"
"850","f","true","0","180","or","switch","incongruent"
"755","f","false","0","0","or","repetition","congruent"
"816","f","true","180","180","or","repetition","congruent"
"977","f","true","180","180","or","repetition","congruent"
"816","f","true","180","180","mov","switch","congruent"
"1411","j","false","0","180","or","switch","incongruent"
"1081","f","true","180","0","mov","switch","incongruent"
"833","j","true","180","0","or","switch","incongruent"
"909","j","false","180","180","or","repetition","congruent"
"1291","j","true","180","0","or","repetition","incongruent"
"1338","j","true","0","0","or","repetition","congruent"
"1068","f","true","0","180","or","repetition","incongruent"
"1132","f","false","0","0","or","repetition","congruent"
"1177","f","true","180","180","mov","switch","congruent"
"909","f","true","180","180","mov","repetition","congruent"
"1095","f","true","180","180","or","switch","congruent"
"1451","f","true","180","180","or","repetition","congruent"
"1671","f","true","0","180","or","repetition","incongruent"
"1063","j","true","0","0","mov","switch","congruent"
"1046","f","true","180","0","mov","repetition","incongruent"
"882","j","true","0","180","mov","repetition","incongruent"
"788","j","true","0","0","mov","repetition","congruent"
"822","j","true","0","0","mov","repetition","congruent"
"1317","j","true","0","180","mov","repetition","incongruent"
"1041","j","true","180","0","or","switch","incongruent"
"993","j","true","0","180","mov","switch","incongruent"
"1327","f","true","180","0","mov","repetition","incongruent"
"882","j","true","0","180","mov","repetition","incongruent"
"1089","f","true","0","180","or","switch","incongruent"
"690","f","true","180","180","mov","switch","congruent"
"1230","f","false","0","180","mov","repetition","incongruent"
"984","j","true","0","0","mov","repetition","congruent"
"671","j","true","0","180","mov","repetition","incongruent"
"1314","f","false","180","0","or","switch","incongruent"
"1094","f","true","0","180","or","repetition","incongruent"
"795","j","true","0","180","mov","switch","incongruent"
"1119","f","false","0","180","mov","repetition","incongruent"
"1262","f","false","0","180","mov","repetition","incongruent"
"639","j","true","0","0","mov","repetition","congruent"
"1007","j","false","180","180","or","switch","congruent"
"593","j","true","0","0","mov","switch","congruent"
"1366","f","false","180","0","or","switch","incongruent"
"1142","j","true","0","0","mov","switch","congruent"
"775","f","true","180","180","mov","repetition","congruent"
"1062","j","true","0","0","or","switch","congruent"
"1003","f","true","180","0","mov","switch","incongruent"
"706","f","true","180","180","or","switch","congruent"
"1169","f","true","180","0","mov","switch","incongruent"
"1075","f","true","180","180","mov","repetition","congruent"
"1329","f","true","180","0","mov","repetition","incongruent"
"934","j","true","0","0","or","switch","congruent"
"949","j","true","0","0","or","repetition","congruent"
"1021","f","true","180","180","or","repetition","congruent"
"760","j","true","0","180","mov","switch","incongruent"
"1377","f","true","180","180","mov","repetition","congruent"
"1480","f","true","180","0","mov","repetition","incongruent"
"948","j","true","0","0","or","switch","congruent"
"1321","j","true","0","0","mov","switch","congruent"
"849","j","true","0","0","or","switch","congruent"
"1176","j","true","180","0","or","repetition","incongruent"
"902","f","true","180","0","mov","switch","incongruent"
"1357","f","false","180","0","or","switch","incongruent"
"638","j","true","0","180","mov","switch","incongruent"
"894","f","true","180","180","mov","repetition","congruent"
"918","f","true","180","180","or","switch","congruent"
"958","j","true","180","0","or","repetition","incongruent"
"662","j","true","0","0","mov","switch","congruent"
"866","f","true","180","180","mov","repetition","congruent"
"1237","f","true","180","180","or","switch","congruent"
"832","j","true","180","0","or","repetition","incongruent"
"1052","j","false","180","0","mov","switch","incongruent"
"869","j","true","180","0","or","switch","incongruent"
"1401","f","true","180","180","mov","switch","congruent"
"1055","f","true","180","180","mov","repetition","congruent"
"1231","f","true","0","180","or","switch","incongruent"
"989","j","true","0","0","mov","switch","congruent"
"1463","j","true","0","0","or","switch","congruent"
"942","f","true","0","180","or","repetition","incongruent"
"1267","j","true","0","0","mov","switch","congruent"
"1029","j","true","0","0","or","switch","congruent"
"1652","f","false","180","0","or","repetition","incongruent"
"1461","f","true","180","180","or","repetition","congruent"
"1210","f","true","180","0","mov","switch","incongruent"
"1615","f","true","0","180","or","switch","incongruent"
"1214","j","true","0","0","or","repetition","congruent"
"1027","f","true","180","0","mov","switch","incongruent"
