rt,key_press,correct,coherent_movement_direction,coherent_orientation,task_type,task_transition,congruency
731,f,true,0,180,or,null,incongruent
645,f,true,180,180,mov,switch,congruent
1031,j,true,0,0,mov,repetition,congruent
924,f,true,0,180,or,switch,incongruent
894,j,true,180,0,or,repetition,incongruent
1146,j,true,0,180,mov,switch,incongruent
800,f,true,180,180,mov,repetition,congruent
916,f,true,180,180,or,switch,congruent
1188,f,false,180,0,or,repetition,incongruent
1112,j,true,0,0,or,repetition,congruent
1241,j,true,0,0,mov,switch,congruent
700,f,true,180,0,mov,repetition,incongruent
599,f,true,180,0,mov,repetition,incongruent
532,f,true,180,180,mov,repetition,congruent
705,j,true,180,0,or,switch,incongruent
1381,f,true,0,180,or,repetition,incongruent
800,j,true,0,0,mov,switch,congruent
934,j,true,0,0,mov,repetition,congruent
549,f,true,180,0,mov,repetition,incongruent
610,j,true,0,180,mov,repetition,incongruent
578,f,true,180,0,mov,repetition,incongruent
605,f,true,180,180,mov,repetition,congruent
724,j,true,0,0,or,switch,congruent
1111,j,true,180,0,or,repetition,incongruent
928,f,true,180,0,mov,switch,incongruent
1179,j,true,0,0,mov,repetition,congruent
670,f,true,180,180,mov,repetition,congruent
775,j,true,0,0,or,switch,congruent
913,f,true,180,180,or,repetition,congruent
673,j,true,0,0,mov,switch,congruent
765,j,true,0,180,mov,repetition,incongruent
1099,f,true,0,180,or,switch,incongruent
783,f,true,0,180,or,repetition,incongruent
696,j,true,180,0,or,repetition,incongruent
950,j,true,0,0,mov,switch,congruent
1122,j,true,0,0,mov,repetition,congruent
963,j,true,0,180,mov,repetition,incongruent
1249,j,true,0,0,or,switch,congruent
1553,j,true,0,0,or,repetition,congruent
1357,f,true,0,180,or,repetition,incongruent
930,f,true,180,0,mov,switch,incongruent
1235,j,true,0,0,mov,repetition,congruent
853,f,true,180,180,or,switch,congruent
749,f,true,180,180,mov,switch,congruent
1284,f,true,0,180,or,switch,incongruent
1371,f,true,0,180,or,repetition,incongruent
733,j,true,0,180,mov,switch,incongruent
657,f,true,180,0,mov,repetition,incongruent
808,f,true,0,180,or,switch,incongruent
1163,j,true,0,0,or,repetition,congruent
628,j,true,0,0,mov,switch,congruent
919,j,true,0,0,or,switch,congruent
571,f,true,180,180,mov,switch,congruent
1233,f,true,180,180,or,switch,congruent
591,f,true,180,180,mov,switch,congruent
895,f,true,180,180,or,switch,congruent
710,j,true,0,180,mov,switch,incongruent
1533,j,true,180,0,or,switch,incongruent
1392,f,false,0,180,mov,switch,incongruent
1053,f,true,180,180,or,switch,congruent
788,j,true,0,180,mov,switch,incongruent
684,f,true,180,0,mov,repetition,incongruent
831,j,true,0,0,or,switch,congruent
1607,j,true,180,0,or,repetition,incongruent
1069,j,true,0,0,or,repetition,congruent
1234,f,true,180,180,mov,switch,congruent
1764,f,true,0,180,or,switch,incongruent
526,f,true,180,180,mov,switch,congruent
553,j,true,0,180,mov,repetition,incongruent
603,f,true,180,0,mov,repetition,incongruent
850,f,true,180,180,or,switch,congruent
1137,j,true,180,0,or,repetition,incongruent
1158,f,true,180,180,or,repetition,congruent
1101,j,true,180,0,or,repetition,incongruent
1125,j,true,180,0,or,repetition,incongruent
1169,f,false,0,0,mov,switch,congruent
698,f,true,180,0,mov,repetition,incongruent
1240,j,true,0,0,or,switch,congruent
1335,f,true,180,180,mov,switch,congruent
1344,f,true,0,180,or,switch,incongruent
826,f,true,180,0,mov,switch,incongruent
979,j,true,180,0,or,switch,incongruent
543,j,true,0,180,mov,switch,incongruent
1153,j,true,0,0,mov,repetition,congruent
1410,f,true,180,180,or,switch,congruent
737,j,true,0,0,or,repetition,congruent
826,j,true,180,0,or,repetition,incongruent
864,f,true,180,180,or,repetition,congruent
905,f,true,180,180,or,repetition,congruent
823,j,true,0,0,or,repetition,congruent
1896,f,true,0,180,or,repetition,incongruent
1358,f,true,180,180,mov,switch,congruent
1694,f,true,180,180,or,switch,congruent
619,f,true,180,0,mov,switch,incongruent
565,j,true,0,180,mov,repetition,incongruent
1474,j,true,0,180,mov,repetition,incongruent
